"iso2","year","demo","n"
"MK",2002,"m1524",20
"MK",2003,"m1524",20
"MK",2004,"m1524",12
"MK",2005,"m1524",14
"MK",2006,"m1524",15
"MK",2007,"m1524",12
"MK",2008,"m1524",18
"ML",1995,"m1524",72
"ML",1996,"m1524",182
"ML",1997,"m1524",226
"ML",1998,"m1524",193
"ML",1999,"m1524",235
"ML",2000,"m1524",206
"ML",2002,"m1524",209
"ML",2003,"m1524",348
"ML",2004,"m1524",302
"ML",2005,"m1524",350
"ML",2006,"m1524",361
"ML",2007,"m1524",369
"ML",2008,"m1524",453
"MM",1995,"m1524",713
"MM",1996,"m1524",767
"MM",1997,"m1524",676
"MM",1998,"m1524",798
"MM",1999,"m1524",936
"MM",2000,"m1524",1459
"MM",2001,"m1524",1800
"MM",2002,"m1524",2125
"MM",2003,"m1524",2536
"MM",2004,"m1524",2777
"MM",2005,"m1524",3401
"MM",2006,"m1524",3572
"MM",2007,"m1524",3591
"MM",2008,"m1524",3416
"MN",1994,"m1524",23
"MN",1995,"m1524",99
"MN",1996,"m1524",103
"MN",1997,"m1524",173
"MN",1998,"m1524",213
"MN",1999,"m1524",213
"MN",2000,"m1524",181
"MN",2001,"m1524",236
"MN",2002,"m1524",242
"MN",2003,"m1524",206
"MN",2004,"m1524",287
"MN",2005,"m1524",271
"MN",2006,"m1524",317
"MN",2007,"m1524",280
"MN",2008,"m1524",289
"MO",1995,"m1524",7
"MO",1996,"m1524",16
"MO",1997,"m1524",15
"MO",1998,"m1524",11
"MO",2000,"m1524",10
"MO",2001,"m1524",9
"MO",2002,"m1524",13
"MO",2003,"m1524",9
"MO",2004,"m1524",8
"MO",2005,"m1524",6
"MO",2006,"m1524",15
"MO",2007,"m1524",14
"MO",2008,"m1524",18
"MP",1995,"m1524",1
"MP",1996,"m1524",2
"MP",1998,"m1524",0
"MP",2000,"m1524",4
"MP",2001,"m1524",1
"MP",2002,"m1524",2
"MP",2003,"m1524",2
"MP",2004,"m1524",0
"MP",2005,"m1524",0
"MP",2006,"m1524",0
"MP",2007,"m1524",0
"MP",2008,"m1524",1
"MR",1997,"m1524",165
"MR",1999,"m1524",290
"MR",2004,"m1524",204
"MR",2006,"m1524",197
"MR",2007,"m1524",206
"MR",2008,"m1524",199
"MS",2003,"m1524",0
"MS",2004,"m1524",0
"MT",1995,"m1524",0
"MT",1996,"m1524",0
"MT",1997,"m1524",1
"MT",1998,"m1524",1
"MT",1999,"m1524",0
"MT",2000,"m1524",1
"MT",2002,"m1524",1
"MT",2003,"m1524",0
"MT",2004,"m1524",0
"MT",2005,"m1524",1
"MT",2006,"m1524",1
"MT",2007,"m1524",0
"MT",2008,"m1524",3
"MU",1995,"m1524",17
"MU",1998,"m1524",12
"MU",1999,"m1524",7
"MU",2000,"m1524",6
"MU",2002,"m1524",12
"MU",2003,"m1524",9
"MU",2004,"m1524",13
"MU",2005,"m1524",10
"MU",2006,"m1524",4
"MU",2007,"m1524",9
"MU",2008,"m1524",11
"MV",1995,"m1524",28
"MV",1996,"m1524",24
"MV",1997,"m1524",13
"MV",1998,"m1524",19
"MV",1999,"m1524",14
"MV",2000,"m1524",9
"MV",2001,"m1524",12
"MV",2002,"m1524",11
"MV",2003,"m1524",14
"MV",2004,"m1524",13
"MV",2005,"m1524",9
"MV",2006,"m1524",8
"MV",2007,"m1524",14
"MV",2008,"m1524",9
"MW",1995,"m1524",493
"MW",1996,"m1524",562
"MW",1997,"m1524",578
"MW",1998,"m1524",677
"MW",1999,"m1524",588
"MW",2000,"m1524",653
"MW",2001,"m1524",704
"MW",2003,"m1524",596
"MW",2004,"m1524",647
"MW",2005,"m1524",622
"MW",2006,"m1524",584
"MW",2007,"m1524",614
"MW",2008,"m1524",570
"MX",1996,"m1524",936
"MX",1998,"m1524",1031
"MX",1999,"m1524",1013
"MX",2000,"m1524",1079
"MX",2001,"m1524",1448
"MX",2002,"m1524",1090
"MX",2003,"m1524",1207
"MX",2004,"m1524",1053
"MX",2005,"m1524",1095
"MX",2006,"m1524",986
"MX",2007,"m1524",981
"MX",2008,"m1524",966
"MY",1995,"m1524",640
"MY",1996,"m1524",720
"MY",1997,"m1524",701
"MY",1998,"m1524",670
"MY",1999,"m1524",692
"MY",2000,"m1524",694
"MY",2001,"m1524",713
"MY",2002,"m1524",562
"MY",2003,"m1524",1211
"MY",2004,"m1524",1195
"MY",2005,"m1524",1179
"MY",2006,"m1524",507
"MY",2007,"m1524",1291
"MY",2008,"m1524",1436
"MZ",1995,"m1524",1136
"MZ",1996,"m1524",1163
"MZ",1997,"m1524",1194
NA,1995,"m1524",68
NA,1996,"m1524",205
NA,1997,"m1524",232
NA,1998,"m1524",270
NA,1999,"m1524",247
NA,2000,"m1524",269
NA,2001,"m1524",322
NA,2002,"m1524",301
NA,2003,"m1524",364
NA,2004,"m1524",319
NA,2005,"m1524",355
NA,2006,"m1524",347
NA,2007,"m1524",370
NA,2008,"m1524",387
"NC",1995,"m1524",2
"NC",1996,"m1524",3
"NC",1999,"m1524",0
"NC",2000,"m1524",1
"NC",2001,"m1524",1
"NC",2002,"m1524",2
"NC",2003,"m1524",1
"NC",2004,"m1524",2
"NC",2005,"m1524",2
"NC",2006,"m1524",0
"NC",2007,"m1524",1
"NC",2008,"m1524",1
"NE",1997,"m1524",148
"NE",1998,"m1524",218
"NE",2000,"m1524",270
"NE",2003,"m1524",485
"NE",2005,"m1524",557
"NE",2006,"m1524",537
"NE",2007,"m1524",571
"NE",2008,"m1524",659
"NG",1995,"m1524",845
"NG",1996,"m1524",2097
"NG",1997,"m1524",1518
"NG",1998,"m1524",1798
"NG",2000,"m1524",2173
"NG",2001,"m1524",2196
"NG",2002,"m1524",2274
"NG",2003,"m1524",3263
"NG",2004,"m1524",3679
"NG",2005,"m1524",3824
"NG",2006,"m1524",4488
"NG",2007,"m1524",4251
"NG",2008,"m1524",4518
"NI",1995,"m1524",178
"NI",1996,"m1524",231
"NI",1997,"m1524",211
"NI",1998,"m1524",221
"NI",1999,"m1524",217
"NI",2000,"m1524",194
"NI",2001,"m1524",213
"NI",2002,"m1524",168
"NI",2003,"m1524",179
"NI",2004,"m1524",161
"NI",2005,"m1524",163
"NI",2006,"m1524",162
"NI",2007,"m1524",172
"NI",2008,"m1524",174
"NL",1995,"m1524",79
"NL",1996,"m1524",48
"NL",1997,"m1524",33
"NL",1998,"m1524",31
"NL",1999,"m1524",44
"NL",2000,"m1524",34
"NL",2001,"m1524",51
"NL",2002,"m1524",40
"NL",2003,"m1524",35
"NL",2004,"m1524",36
"NL",2005,"m1524",23
"NL",2006,"m1524",25
"NL",2007,"m1524",10
"NL",2008,"m1524",16
"NO",1995,"m1524",4
"NO",1996,"m1524",8
"NO",1997,"m1524",6
"NO",1998,"m1524",1
"NO",1999,"m1524",2
"NO",2000,"m1524",1
"NO",2001,"m1524",6
"NO",2002,"m1524",4
"NO",2003,"m1524",3
"NO",2004,"m1524",5
"NO",2005,"m1524",9
"NO",2006,"m1524",5
"NO",2007,"m1524",4
"NO",2008,"m1524",10
"NP",1996,"m1524",1451
"NP",1998,"m1524",1621
"NP",1999,"m1524",1872
"NP",2000,"m1524",1904
"NP",2001,"m1524",1957
"NP",2002,"m1524",1980
"NP",2003,"m1524",2039
"NP",2004,"m1524",1991
"NP",2005,"m1524",1946
"NP",2006,"m1524",1914
"NP",2007,"m1524",2025
"NP",2008,"m1524",150
"NR",1999,"m1524",0
"NR",2003,"m1524",0
"NR",2006,"m1524",1
"NR",2007,"m1524",1
"NR",2008,"m1524",1
"NU",1999,"m1524",1
"NU",2004,"m1524",0
"NU",2005,"m1524",0
"NU",2006,"m1524",0
"NU",2007,"m1524",0
"NZ",1995,"m1524",4
"NZ",1996,"m1524",4
"NZ",1997,"m1524",3
"NZ",1998,"m1524",8
"NZ",1999,"m1524",10
"NZ",2000,"m1524",6
"NZ",2001,"m1524",7
"NZ",2002,"m1524",10
"NZ",2003,"m1524",9
"NZ",2004,"m1524",10
"NZ",2005,"m1524",6
"NZ",2006,"m1524",14
"NZ",2007,"m1524",11
"NZ",2008,"m1524",9
"OM",1995,"m1524",7
"OM",1996,"m1524",15
"OM",1997,"m1524",18
"OM",1998,"m1524",18
"OM",1999,"m1524",10
"OM",2000,"m1524",8
"OM",2001,"m1524",10
"OM",2002,"m1524",22
"OM",2003,"m1524",28
"OM",2004,"m1524",15
"OM",2005,"m1524",21
"OM",2006,"m1524",18
"OM",2007,"m1524",16
"OM",2008,"m1524",18
"PA",1995,"m1524",155
"PA",1996,"m1524",68
"PA",1997,"m1524",79
"PA",1998,"m1524",14
"PA",1999,"m1524",107
"PA",2000,"m1524",44
"PA",2001,"m1524",58
"PA",2002,"m1524",89
"PA",2003,"m1524",91
"PA",2004,"m1524",89
"PA",2005,"m1524",76
"PA",2006,"m1524",100
"PA",2007,"m1524",106
"PA",2008,"m1524",95
"PE",1995,"m1524",1311
"PE",1996,"m1524",1351
"PE",1997,"m1524",6913
"PE",1998,"m1524",6271
"PE",1999,"m1524",4861
"PE",2000,"m1524",5290
"PE",2001,"m1524",5591
"PE",2002,"m1524",983
"PE",2003,"m1524",758
"PE",2004,"m1524",3860
"PE",2005,"m1524",3802
"PE",2006,"m1524",4071
"PE",2007,"m1524",3436
"PE",2008,"m1524",3406
"PF",1996,"m1524",4
"PF",1997,"m1524",4
"PF",1998,"m1524",4
"PF",1999,"m1524",2
"PF",2000,"m1524",3
"PF",2001,"m1524",5
"PF",2002,"m1524",4
"PF",2003,"m1524",2
"PF",2004,"m1524",1
"PF",2005,"m1524",2
"PF",2006,"m1524",1
"PF",2008,"m1524",3
"PG",1996,"m1524",31
"PG",1997,"m1524",9
"PG",1998,"m1524",69
"PG",1999,"m1524",33
"PG",2000,"m1524",87
"PG",2001,"m1524",101
"PG",2002,"m1524",139
"PG",2003,"m1524",190
"PG",2004,"m1524",153
"PG",2005,"m1524",183
"PG",2006,"m1524",221
"PG",2007,"m1524",178
"PG",2008,"m1524",250
"PH",1995,"m1524",43
"PH",1996,"m1524",26
"PH",1997,"m1524",136
"PH",1998,"m1524",157
"PH",2003,"m1524",6360
"PH",2004,"m1524",6792
"PH",2005,"m1524",7358
"PH",2006,"m1524",7878
"PH",2007,"m1524",8524
"PH",2008,"m1524",8735
"PK",1995,"m1524",274
"PK",1998,"m1524",633
"PK",1999,"m1524",229
"PK",2000,"m1524",498
"PK",2001,"m1524",1191
"PK",2002,"m1524",1964
"PK",2003,"m1524",2605
"PK",2004,"m1524",3812
"PK",2005,"m1524",5278
"PK",2006,"m1524",7290
"PK",2007,"m1524",9598
"PK",2008,"m1524",10521
"PL",1995,"m1524",122
"PL",1996,"m1524",248
"PL",1997,"m1524",104
"PL",1998,"m1524",99
"PL",1999,"m1524",84
"PL",2000,"m1524",99
"PL",2001,"m1524",78
"PL",2002,"m1524",100
"PL",2003,"m1524",93
"PL",2004,"m1524",85
"PL",2005,"m1524",109
"PL",2006,"m1524",92
"PL",2007,"m1524",85
"PL",2008,"m1524",66
"PR",1995,"m1524",3
"PR",1996,"m1524",1
"PR",1997,"m1524",4
"PR",1998,"m1524",9
"PR",1999,"m1524",5
"PR",2000,"m1524",1
"PR",2001,"m1524",5
"PR",2002,"m1524",4
"PR",2003,"m1524",3
"PR",2004,"m1524",2
"PR",2005,"m1524",4
"PR",2006,"m1524",4
"PR",2007,"m1524",6
"PR",2008,"m1524",2
"PS",1995,"m1524",2
"PS",1996,"m1524",2
"PS",1998,"m1524",1
"PS",2003,"m1524",1
"PS",2004,"m1524",1
"PS",2005,"m1524",1
"PS",2006,"m1524",1
"PS",2007,"m1524",1
"PS",2008,"m1524",1
"PT",1995,"m1524",215
"PT",1996,"m1524",176
"PT",1997,"m1524",135
"PT",1998,"m1524",154
"PT",1999,"m1524",113
"PT",2000,"m1524",147
"PT",2001,"m1524",156
"PT",2002,"m1524",156
"PT",2003,"m1524",134
"PT",2004,"m1524",97
"PT",2005,"m1524",85
"PT",2006,"m1524",80
"PT",2007,"m1524",69
"PT",2008,"m1524",51
"PW",1995,"m1524",2
"PW",1996,"m1524",1
"PW",1997,"m1524",0
"PW",1999,"m1524",2
"PW",2002,"m1524",0
"PW",2003,"m1524",0
"PW",2006,"m1524",0
"PW",2007,"m1524",0
"PY",1995,"m1524",64
"PY",1996,"m1524",84
"PY",1997,"m1524",100
"PY",1998,"m1524",100
"PY",1999,"m1524",113
"PY",2000,"m1524",112
"PY",2001,"m1524",114
"PY",2002,"m1524",119
"PY",2003,"m1524",163
"PY",2004,"m1524",160
"PY",2005,"m1524",168
"PY",2006,"m1524",188
"PY",2007,"m1524",171
"PY",2008,"m1524",238
"QA",1995,"m1524",8
"QA",1996,"m1524",2
"QA",1997,"m1524",8
"QA",1998,"m1524",10
"QA",1999,"m1524",5
"QA",2000,"m1524",7
"QA",2001,"m1524",2
"QA",2002,"m1524",8
"QA",2003,"m1524",10
"QA",2004,"m1524",9
"QA",2005,"m1524",19
"QA",2006,"m1524",22
"QA",2007,"m1524",26
"QA",2008,"m1524",47
"RO",1995,"m1524",1662
"RO",1996,"m1524",851
"RO",1997,"m1524",1073
"RO",1998,"m1524",895
"RO",1999,"m1524",842
"RO",2000,"m1524",832
"RO",2001,"m1524",790
"RO",2002,"m1524",742
"RO",2003,"m1524",750
"RO",2004,"m1524",718
"RO",2005,"m1524",752
"RO",2006,"m1524",748
"RO",2007,"m1524",706
"RO",2008,"m1524",671
"RS",2005,"m1524",62
"RS",2006,"m1524",87
"RS",2007,"m1524",42
"RS",2008,"m1524",37
"RU",1996,"m1524",12
"RU",1997,"m1524",38
"RU",1998,"m1524",45
"RU",1999,"m1524",1858
"RU",2000,"m1524",295
"RU",2001,"m1524",2124
"RU",2002,"m1524",2081
"RU",2003,"m1524",2128
"RU",2004,"m1524",2355
"RU",2006,"m1524",2445
"RU",2007,"m1524",2492
"RU",2008,"m1524",2495
"RW",1996,"m1524",222
"RW",1997,"m1524",284
"RW",1999,"m1524",245
"RW",2000,"m1524",466
"RW",2002,"m1524",96
"RW",2003,"m1524",364
"RW",2004,"m1524",561
"RW",2005,"m1524",494
"RW",2006,"m1524",598
"RW",2007,"m1524",523
"RW",2008,"m1524",528
"SA",1998,"m1524",76
"SA",1999,"m1524",155
"SA",2000,"m1524",131
"SA",2001,"m1524",141
"SA",2002,"m1524",148
"SA",2003,"m1524",150
"SA",2004,"m1524",202
"SA",2005,"m1524",182
"SA",2006,"m1524",256
"SA",2007,"m1524",246
"SA",2008,"m1524",295
"SB",1995,"m1524",14
"SB",1996,"m1524",9
"SB",1997,"m1524",20
"SB",1998,"m1524",15
"SB",2000,"m1524",13
"SB",2002,"m1524",16
"SB",2003,"m1524",14
"SB",2004,"m1524",11
"SB",2005,"m1524",14
"SB",2006,"m1524",13
"SB",2007,"m1524",15
"SB",2008,"m1524",17
"SC",1995,"m1524",2
"SC",1996,"m1524",0
"SC",1997,"m1524",1
"SC",1998,"m1524",0
"SC",2001,"m1524",0
"SC",2002,"m1524",1
"SC",2003,"m1524",1
"SC",2004,"m1524",0
"SC",2005,"m1524",2
"SC",2008,"m1524",0
"SD",1995,"m1524",604
"SD",1998,"m1524",1079
"SD",1999,"m1524",1100
"SD",2000,"m1524",1028
"SD",2001,"m1524",1018
"SD",2002,"m1524",1171
"SD",2003,"m1524",1195
"SD",2004,"m1524",1377
"SD",2005,"m1524",1358
"SD",2006,"m1524",1351
"SD",2007,"m1524",1355
"SD",2008,"m1524",1241
"SE",1995,"m1524",5
"SE",1996,"m1524",11
"SE",1997,"m1524",6
"SE",1998,"m1524",6
"SE",1999,"m1524",13
"SE",2000,"m1524",9
"SE",2001,"m1524",10
"SE",2002,"m1524",6
"SE",2003,"m1524",8
"SE",2004,"m1524",10
"SE",2005,"m1524",7
"SE",2006,"m1524",4
"SE",2007,"m1524",7
"SE",2008,"m1524",14
"SG",1995,"m1524",9
"SG",1997,"m1524",8
"SG",1998,"m1524",9
"SG",1999,"m1524",18
"SG",2000,"m1524",8
"SG",2001,"m1524",6
"SG",2002,"m1524",14
"SG",2003,"m1524",17
"SG",2004,"m1524",12
"SG",2005,"m1524",8
"SG",2006,"m1524",7
"SG",2007,"m1524",15
"SG",2008,"m1524",10
"SI",1995,"m1524",13
"SI",1996,"m1524",5
"SI",1997,"m1524",4
"SI",1998,"m1524",5
"SI",1999,"m1524",3
"SI",2000,"m1524",3
"SI",2001,"m1524",4
"SI",2002,"m1524",8
"SI",2003,"m1524",3
"SI",2004,"m1524",5
"SI",2005,"m1524",4
"SI",2006,"m1524",3
"SI",2007,"m1524",0
"SI",2008,"m1524",3
"SK",1995,"m1524",18
"SK",1996,"m1524",16
"SK",1997,"m1524",2
"SK",1998,"m1524",5
"SK",1999,"m1524",2
"SK",2000,"m1524",6
"SK",2001,"m1524",8
"SK",2002,"m1524",4
"SK",2003,"m1524",6
"SK",2004,"m1524",2
"SK",2005,"m1524",3
"SK",2006,"m1524",8
"SK",2007,"m1524",8
"SK",2008,"m1524",2
"SL",1995,"m1524",184
"SL",1996,"m1524",249
"SL",1997,"m1524",230
"SL",1998,"m1524",226
"SL",2000,"m1524",287
"SL",2001,"m1524",268
"SL",2002,"m1524",317
"SL",2003,"m1524",351
"SL",2004,"m1524",417
"SL",2005,"m1524",490
"SL",2006,"m1524",485
"SL",2007,"m1524",538
"SL",2008,"m1524",625
"SM",2003,"m1524",0
"SM",2004,"m1524",0
"SN",1995,"m1524",717
"SN",1996,"m1524",773
"SN",1997,"m1524",753
"SN",1998,"m1524",781
"SN",1999,"m1524",721
"SN",2000,"m1524",772
"SN",2001,"m1524",908
"SN",2002,"m1524",815
"SN",2003,"m1524",1005
"SN",2004,"m1524",1085
"SN",2005,"m1524",1050
"SN",2006,"m1524",1124
"SN",2007,"m1524",1053
"SN",2008,"m1524",1274
"SO",1995,"m1524",334
"SO",1996,"m1524",439
"SO",1997,"m1524",565
"SO",1998,"m1524",541
"SO",1999,"m1524",643
"SO",2000,"m1524",740
"SO",2001,"m1524",899
"SO",2002,"m1524",922
"SO",2003,"m1524",1054
"SO",2004,"m1524",1228
"SO",2005,"m1524",1343
"SO",2006,"m1524",1377
"SO",2007,"m1524",1239
"SO",2008,"m1524",1273
"SR",1996,"m1524",5
"SR",1997,"m1524",6
"SR",2000,"m1524",6
"SR",2001,"m1524",2
"SR",2002,"m1524",1
"SR",2003,"m1524",5
"SR",2004,"m1524",6
"SR",2005,"m1524",7
"SR",2006,"m1524",6
"ST",2000,"m1524",5
"ST",2001,"m1524",7
"ST",2002,"m1524",7
"ST",2003,"m1524",2
"ST",2004,"m1524",5
"ST",2005,"m1524",5
"ST",2006,"m1524",5
"ST",2007,"m1524",4
"ST",2008,"m1524",5
"SV",1996,"m1524",76
"SV",1997,"m1524",86
"SV",1998,"m1524",95
"SV",1999,"m1524",102
"SV",2000,"m1524",99
"SV",2001,"m1524",101
"SV",2002,"m1524",85
"SV",2003,"m1524",75
"SV",2004,"m1524",92
"SV",2005,"m1524",97
"SV",2006,"m1524",93
"SV",2007,"m1524",79
"SV",2008,"m1524",107
"SY",1995,"m1524",332
"SY",1996,"m1524",390
"SY",1997,"m1524",337
"SY",1998,"m1524",335
"SY",2000,"m1524",359
"SY",2001,"m1524",317
"SY",2002,"m1524",359
"SY",2003,"m1524",343
"SY",2004,"m1524",318
"SY",2005,"m1524",266
"SY",2006,"m1524",225
"SY",2007,"m1524",198
"SY",2008,"m1524",170
"SZ",1995,"m1524",59
"SZ",1996,"m1524",39
"SZ",2000,"m1524",130
"SZ",2001,"m1524",180
"SZ",2002,"m1524",94
"SZ",2003,"m1524",120
"SZ",2004,"m1524",152
"SZ",2005,"m1524",162
"SZ",2006,"m1524",187
"SZ",2007,"m1524",223
"SZ",2008,"m1524",231
"TC",2003,"m1524",0
"TC",2006,"m1524",1
"TD",1999,"m1524",172
"TD",2002,"m1524",90
"TD",2003,"m1524",256
"TD",2004,"m1524",141
"TD",2005,"m1524",194
"TG",1995,"m1524",95
"TG",1996,"m1524",95
"TG",1998,"m1524",85
"TG",1999,"m1524",92
"TG",2000,"m1524",101
"TG",2002,"m1524",140
"TG",2003,"m1524",126
"TG",2004,"m1524",145
"TG",2005,"m1524",177
"TG",2006,"m1524",174
"TG",2007,"m1524",156
"TG",2008,"m1524",194
"TH",1995,"m1524",1191
"TH",1996,"m1524",1088
"TH",1997,"m1524",864
"TH",1998,"m1524",427
"TH",1999,"m1524",791
"TH",2000,"m1524",859
"TH",2001,"m1524",1868
"TH",2002,"m1524",1352
"TH",2003,"m1524",1636
"TH",2004,"m1524",1421
"TH",2005,"m1524",1344
"TH",2006,"m1524",1276
"TH",2007,"m1524",1261
"TH",2008,"m1524",1222
"TJ",1996,"m1524",22
"TJ",1997,"m1524",16
"TJ",1998,"m1524",67
"TJ",2001,"m1524",129
"TJ",2002,"m1524",134
"TJ",2004,"m1524",146
"TJ",2005,"m1524",308
"TJ",2007,"m1524",413
"TJ",2008,"m1524",437
"TK",2007,"m1524",0
"TK",2008,"m1524",10
"TL",2002,"m1524",119
"TL",2003,"m1524",130
"TL",2004,"m1524",133
"TL",2005,"m1524",136
"TL",2006,"m1524",128
"TL",2007,"m1524",128
"TL",2008,"m1524",115
"TM",1995,"m1524",11
"TM",1996,"m1524",15
"TM",1997,"m1524",14
"TM",1998,"m1524",100
"TM",1999,"m1524",129
"TM",2000,"m1524",103
"TM",2001,"m1524",169
"TM",2002,"m1524",164
"TM",2003,"m1524",148
"TM",2004,"m1524",129
"TM",2005,"m1524",148
"TM",2006,"m1524",140
"TM",2007,"m1524",176
"TM",2008,"m1524",176
"TN",1998,"m1524",134
"TN",1999,"m1524",137
"TN",2000,"m1524",139
"TN",2001,"m1524",141
"TN",2002,"m1524",112
"TN",2003,"m1524",100
"TN",2004,"m1524",100
"TN",2005,"m1524",103
"TN",2006,"m1524",125
"TN",2007,"m1524",124
"TN",2008,"m1524",130
"TO",1995,"m1524",1
"TO",1996,"m1524",1
"TO",1997,"m1524",2
"TO",1998,"m1524",2
"TO",1999,"m1524",1
"TO",2000,"m1524",2
"TO",2001,"m1524",0
"TO",2002,"m1524",1
"TO",2003,"m1524",1
"TO",2005,"m1524",2
"TO",2006,"m1524",1
"TO",2007,"m1524",2
"TO",2008,"m1524",2
"TR",2004,"m1524",50
"TR",2005,"m1524",1148
"TR",2006,"m1524",1212
"TR",2007,"m1524",1091
"TR",2008,"m1524",940
"TT",1995,"m1524",6
"TT",1996,"m1524",4
"TT",1998,"m1524",9
"TT",1999,"m1524",11
"TT",2000,"m1524",7
"TT",2001,"m1524",10
"TT",2002,"m1524",8
"TT",2003,"m1524",9
"TT",2004,"m1524",3
"TT",2005,"m1524",10
"TT",2006,"m1524",7
"TT",2007,"m1524",10
"TT",2008,"m1524",9
"TV",1995,"m1524",0
"TV",2003,"m1524",2
"TV",2006,"m1524",1
"TV",2007,"m1524",1
"TV",2008,"m1524",2
"TZ",1995,"m1524",2108
"TZ",1996,"m1524",2176
"TZ",1997,"m1524",2210
"TZ",1998,"m1524",2528
"TZ",1999,"m1524",2422
"TZ",2000,"m1524",2357
"TZ",2001,"m1524",2302
"TZ",2002,"m1524",2309
"TZ",2003,"m1524",2172
"TZ",2004,"m1524",2216
"TZ",2005,"m1524",2062
"TZ",2006,"m1524",2060
"TZ",2007,"m1524",2021
"TZ",2008,"m1524",1963
"UA",1995,"m1524",385
"UA",1996,"m1524",569
"UA",1997,"m1524",623
"UA",1998,"m1524",687
"UA",1999,"m1524",661
"UA",2000,"m1524",693
"UA",2001,"m1524",757
"UA",2003,"m1524",850
"UA",2006,"m1524",926
"UA",2007,"m1524",1556
"UA",2008,"m1524",901
"UG",1995,"m1524",1193
"UG",1996,"m1524",1271
"UG",1997,"m1524",1485
"UG",1998,"m1524",1512
"UG",1999,"m1524",1510
"UG",2000,"m1524",1511
"UG",2001,"m1524",1461
"UG",2002,"m1524",1503
"UG",2003,"m1524",1643
"UG",2004,"m1524",1803
"UG",2005,"m1524",1598
"UG",2006,"m1524",1624
"UG",2007,"m1524",1741
"UG",2008,"m1524",1953
"US",1995,"m1524",355
"US",1996,"m1524",333
"US",1997,"m1524",330
"US",1998,"m1524",321
"US",1999,"m1524",331
"US",2000,"m1524",365
"US",2001,"m1524",320
"US",2002,"m1524",343
"US",2003,"m1524",365
"US",2004,"m1524",362
"US",2005,"m1524",383
"US",2006,"m1524",388
"US",2007,"m1524",414
"US",2008,"m1524",375
"UY",1995,"m1524",28
"UY",1996,"m1524",34
"UY",1997,"m1524",37
"UY",1998,"m1524",30
"UY",1999,"m1524",45
"UY",2000,"m1524",36
"UY",2001,"m1524",33
"UY",2002,"m1524",33
"UY",2003,"m1524",46
"UY",2004,"m1524",38
"UY",2005,"m1524",42
"UY",2006,"m1524",38
"UY",2007,"m1524",39
"UY",2008,"m1524",49
"UZ",1996,"m1524",96
"UZ",1998,"m1524",6
"UZ",1999,"m1524",429
"UZ",2000,"m1524",351
"UZ",2001,"m1524",390
"UZ",2002,"m1524",330
"UZ",2003,"m1524",487
"UZ",2004,"m1524",512
"UZ",2005,"m1524",596
"UZ",2006,"m1524",568
"UZ",2007,"m1524",569
"UZ",2008,"m1524",515
"VC",1998,"m1524",0
"VC",2000,"m1524",1
"VC",2005,"m1524",0
"VC",2007,"m1524",0
"VE",1999,"m1524",378
"VE",2002,"m1524",339
"VE",2003,"m1524",361
"VE",2004,"m1524",373
"VE",2005,"m1524",312
"VE",2006,"m1524",323
"VE",2007,"m1524",324
"VE",2008,"m1524",364
"VI",1995,"m1524",0
"VI",1996,"m1524",0
"VN",1996,"m1524",1994
"VN",1997,"m1524",2162
"VN",1998,"m1524",2441
"VN",1999,"m1524",2254
"VN",2000,"m1524",2367
"VN",2001,"m1524",2756
"VN",2002,"m1524",3250
"VN",2003,"m1524",3475
"VN",2004,"m1524",3486
"VN",2005,"m1524",3408
"VN",2006,"m1524",3761
"VN",2007,"m1524",3587
"VN",2008,"m1524",3401
"VU",1995,"m1524",6
"VU",1996,"m1524",4
"VU",1998,"m1524",4
"VU",1999,"m1524",0
"VU",2000,"m1524",7
"VU",2001,"m1524",7
"VU",2002,"m1524",7
"VU",2003,"m1524",2
"VU",2004,"m1524",7
"VU",2005,"m1524",4
"VU",2006,"m1524",5
"VU",2007,"m1524",3
"VU",2008,"m1524",4
"WF",1996,"m1524",1
"WF",2002,"m1524",1
"WF",2003,"m1524",0
"WF",2007,"m1524",0
"WS",1995,"m1524",1
"WS",1996,"m1524",0
"WS",1997,"m1524",1
"WS",1998,"m1524",1
"WS",1999,"m1524",1
"WS",2000,"m1524",3
"WS",2001,"m1524",3
"WS",2002,"m1524",1
"WS",2003,"m1524",2
"WS",2005,"m1524",4
"WS",2006,"m1524",3
"WS",2008,"m1524",1
"YE",1995,"m1524",400
"YE",1996,"m1524",91
"YE",1997,"m1524",307
"YE",1998,"m1524",718
"YE",1999,"m1524",552
"YE",2000,"m1524",789
"YE",2001,"m1524",695
"YE",2002,"m1524",650
"YE",2003,"m1524",581
"YE",2004,"m1524",571
"YE",2005,"m1524",493
"YE",2006,"m1524",535
"YE",2007,"m1524",488
"YE",2008,"m1524",547
"YU",1995,"m1524",108
"YU",1996,"m1524",207
"YU",1997,"m1524",136
"YU",2001,"m1524",52
"YU",2002,"m1524",37
"YU",2003,"m1524",51
"YU",2004,"m1524",61
"ZA",1999,"m1524",624
"ZA",2000,"m1524",723
"ZA",2001,"m1524",1490
"ZA",2002,"m1524",5147
"ZA",2003,"m1524",10107
"ZA",2004,"m1524",11030
"ZA",2005,"m1524",10422
"ZA",2006,"m1524",10498
"ZA",2007,"m1524",10514
"ZA",2008,"m1524",10172
"ZM",1995,"m1524",659
"ZM",2000,"m1524",2175
"ZM",2002,"m1524",1013
